# acceptance rate 2.79
# Om   w   H0   log_like
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.065 -0.918 71.484 -229.607
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.032 -0.963 73.232 -230.821
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.077 -1.018 72.700 -231.234
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
