# acceptance rate 2.59
# Om   w   H0   log_like
0.300 -0.900 70.000 -255.662
0.258 -0.913 69.489 -68.809
0.258 -0.913 69.489 -68.809
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.309 -0.897 67.716 -60.634
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.350 -0.970 67.614 -60.750
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.321 -0.930 67.847 -60.371
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
0.276 -0.785 67.143 -60.837
