# acceptance rate 2.83
# Om   w   H0   log_like
0.300 -0.900 70.000 -722.319
0.176 -0.764 69.161 -300.713
0.176 -0.764 69.161 -300.713
0.176 -0.764 69.161 -300.713
0.176 -0.764 69.161 -300.713
0.217 -0.903 67.383 -223.494
0.217 -0.903 67.383 -223.494
0.217 -0.903 67.383 -223.494
0.217 -0.903 67.383 -223.494
0.217 -0.903 67.383 -223.494
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.303 -0.889 67.287 -199.534
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.330 -0.961 66.694 -169.786
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.270 -0.899 67.559 -164.193
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.251 -0.900 67.412 -163.018
0.201 -0.958 69.690 -149.454
0.201 -0.958 69.690 -149.454
0.201 -0.958 69.690 -149.454
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.213 -0.995 69.758 -150.570
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.140 -0.980 71.700 -151.080
0.123 -0.887 70.837 -150.054
0.123 -0.887 70.837 -150.054
0.123 -0.887 70.837 -150.054
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.177 -0.967 70.516 -148.483
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
0.182 -0.984 70.575 -148.617
