# acceptance rate 5.24
# Om   w   H0   log_like
0.300 -0.900 70.000 -618.705
0.250 -0.951 69.579 -330.645
0.250 -0.951 69.579 -330.645
0.250 -0.951 69.579 -330.645
0.250 -0.951 69.579 -330.645
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.311 -1.023 68.199 -317.867
0.350 -0.987 67.380 -299.711
0.384 -0.978 66.639 -293.649
0.375 -0.893 65.957 -289.908
0.375 -0.893 65.957 -289.908
0.375 -0.893 65.957 -289.908
0.375 -0.893 65.957 -289.908
0.375 -0.893 65.957 -289.908
0.423 -1.043 66.196 -288.741
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.476 -0.980 64.593 -281.344
0.446 -0.968 65.079 -283.923
0.446 -0.968 65.079 -283.923
0.446 -0.968 65.079 -283.923
0.446 -0.968 65.079 -283.923
0.446 -0.968 65.079 -283.923
0.504 -0.910 63.475 -281.198
0.504 -0.910 63.475 -281.198
0.543 -0.990 63.733 -279.688
0.543 -0.990 63.733 -279.688
0.543 -0.990 63.733 -279.688
0.543 -0.990 63.733 -279.688
0.543 -0.990 63.733 -279.688
0.543 -0.990 63.733 -279.688
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.446 -0.858 64.346 -280.679
0.500 -0.824 62.951 -281.533
0.500 -0.824 62.951 -281.533
0.500 -0.824 62.951 -281.533
0.500 -0.824 62.951 -281.533
0.500 -0.824 62.951 -281.533
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.567 -0.922 62.749 -275.595
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
0.580 -0.895 62.461 -275.350
