# acceptance rate 0.51
# Om   w   H0
0.375 -1.401 69.863
0.375 -1.401 69.863
0.375 -1.401 69.863
0.375 -1.401 69.863
0.355 -1.266 69.253
0.355 -1.266 69.253
0.360 -1.281 69.216
0.366 -1.311 69.319
0.366 -1.311 69.319
0.372 -1.348 69.472
0.371 -1.358 69.619
0.371 -1.358 69.619
0.363 -1.315 69.425
0.355 -1.294 69.665
0.355 -1.294 69.665
0.355 -1.294 69.665
0.355 -1.294 69.665
0.355 -1.294 69.665
0.367 -1.354 69.588
0.357 -1.294 69.258
0.357 -1.294 69.258
0.356 -1.284 69.222
0.356 -1.278 69.192
0.346 -1.211 68.979
0.345 -1.209 68.971
0.347 -1.225 69.034
0.385 -1.377 69.258
0.385 -1.377 69.258
0.364 -1.234 68.653
0.368 -1.252 68.665
0.370 -1.258 68.669
0.342 -1.166 68.520
0.342 -1.166 68.520
0.335 -1.131 68.501
0.335 -1.131 68.501
0.305 -1.015 68.381
0.305 -1.015 68.381
0.320 -1.056 68.410
0.314 -1.037 68.389
0.316 -1.028 68.251
0.316 -1.028 68.251
0.315 -1.026 68.245
0.318 -1.036 68.246
0.335 -1.131 68.644
0.335 -1.131 68.644
0.377 -1.356 69.017
0.373 -1.291 68.502
0.369 -1.292 68.775
0.347 -1.202 68.610
0.358 -1.253 68.864
0.360 -1.272 68.980
0.334 -1.092 68.756
0.334 -1.092 68.756
0.334 -1.092 68.756
0.350 -1.117 68.420
0.353 -1.145 68.476
0.353 -1.148 68.506
0.332 -1.087 68.299
0.332 -1.087 68.299
0.332 -1.087 68.299
0.332 -1.087 68.299
0.332 -1.087 68.299
0.323 -1.093 68.515
0.315 -1.041 68.385
0.290 -0.955 68.135
0.290 -0.955 68.135
0.290 -0.955 68.135
0.290 -0.955 68.135
0.290 -0.955 68.135
0.290 -0.955 68.135
0.292 -0.964 68.232
0.283 -0.934 68.184
0.289 -0.975 68.613
0.289 -0.975 68.613
0.285 -0.968 68.638
0.309 -1.019 68.462
0.305 -1.006 68.404
0.293 -0.979 68.322
0.293 -0.979 68.322
0.293 -0.979 68.322
0.293 -0.979 68.322
0.307 -0.990 68.100
0.307 -0.990 68.100
0.315 -1.062 68.668
0.315 -1.062 68.668
0.318 -1.069 68.702
0.318 -1.069 68.702
0.312 -1.027 68.342
0.312 -1.027 68.342
0.312 -1.027 68.342
0.312 -1.027 68.342
0.289 -0.987 68.205
0.274 -0.949 68.070
0.256 -0.904 68.033
0.179 -0.721 67.606
0.179 -0.721 67.606
0.179 -0.721 67.606
0.203 -0.759 67.621
0.193 -0.735 67.597
0.193 -0.735 67.597
0.193 -0.735 67.597
0.193 -0.735 67.597
0.193 -0.735 67.597
0.193 -0.735 67.597
0.220 -0.812 67.806
0.220 -0.812 67.806
0.190 -0.751 67.904
0.147 -0.674 67.862
0.147 -0.674 67.862
0.218 -0.817 68.169
0.218 -0.817 68.169
0.193 -0.744 68.008
0.193 -0.744 68.008
0.193 -0.744 68.008
0.250 -0.851 67.788
0.261 -0.874 67.895
0.261 -0.874 67.895
0.261 -0.874 67.895
0.261 -0.874 67.895
0.261 -0.874 67.895
0.261 -0.874 67.895
0.261 -0.874 67.895
0.284 -0.912 67.729
0.253 -0.834 67.693
0.260 -0.851 67.701
0.260 -0.851 67.701
0.261 -0.850 67.720
0.242 -0.753 67.344
0.310 -1.041 68.052
0.358 -1.145 68.304
0.367 -1.203 68.426
0.367 -1.203 68.426
0.367 -1.203 68.426
0.367 -1.203 68.426
0.358 -1.160 68.217
0.338 -1.055 68.040
0.356 -1.050 67.621
0.368 -1.144 67.961
0.377 -1.174 68.046
0.394 -1.359 68.657
0.393 -1.327 68.473
0.386 -1.263 68.160
0.401 -1.315 68.193
0.379 -1.220 68.144
0.378 -1.219 68.170
0.378 -1.219 68.170
0.366 -1.201 68.516
0.366 -1.200 68.517
0.368 -1.253 68.981
0.368 -1.253 68.981
0.360 -1.211 69.023
0.369 -1.226 68.706
0.369 -1.226 68.706
0.368 -1.202 68.494
0.368 -1.202 68.494
0.368 -1.202 68.494
0.368 -1.202 68.494
0.369 -1.216 68.779
0.368 -1.192 68.618
0.368 -1.192 68.618
0.368 -1.192 68.618
0.364 -1.166 68.682
0.341 -1.096 68.382
0.341 -1.096 68.382
0.347 -1.114 68.424
0.347 -1.114 68.424
0.347 -1.114 68.424
0.347 -1.113 68.424
0.347 -1.113 68.424
0.347 -1.113 68.424
0.347 -1.113 68.424
0.347 -1.113 68.424
0.347 -1.113 68.424
0.338 -1.074 68.117
0.338 -1.074 68.117
0.340 -1.093 68.242
0.370 -1.175 68.431
0.370 -1.175 68.431
0.349 -1.126 68.450
0.354 -1.169 68.725
0.327 -1.085 68.566
0.330 -1.099 68.608
0.330 -1.099 68.608
0.330 -1.099 68.608
0.315 -1.037 68.438
0.304 -0.953 67.922
0.289 -0.922 67.845
0.289 -0.922 67.845
0.277 -0.870 67.646
0.277 -0.870 67.646
