# acceptance rate 6.85
# Om   w   H0   chi2
0.298 -0.937 67.160 937.942
0.298 -0.937 67.160 937.942
0.298 -0.937 67.160 937.942
0.320 -1.023 67.491 938.165
0.320 -1.023 67.491 938.165
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.334 -1.039 67.519 939.155
0.324 -1.043 67.956 939.009
0.324 -1.043 67.956 939.009
0.324 -1.043 67.956 939.009
0.324 -1.043 67.956 939.009
0.311 -1.022 67.897 938.682
0.311 -1.022 67.897 938.682
0.311 -1.022 67.897 938.682
0.308 -0.940 67.416 938.311
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.295 -0.884 66.995 938.220
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.274 -0.836 67.197 936.536
0.257 -0.810 66.213 933.490
0.257 -0.810 66.213 933.490
0.257 -0.810 66.213 933.490
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.268 -0.860 67.920 933.474
0.301 -0.788 66.138 934.079
0.301 -0.788 66.138 934.079
0.301 -0.788 66.138 934.079
0.301 -0.788 66.138 934.079
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.313 -0.911 66.872 938.256
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.326 -0.972 67.276 938.531
0.313 -0.935 67.643 935.107
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.267 -0.831 67.232 937.049
0.262 -0.777 65.986 936.061
0.262 -0.777 65.986 936.061
0.262 -0.777 65.986 936.061
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.216 -0.712 66.715 936.092
0.231 -0.740 66.611 937.176
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.291 -0.907 66.830 936.522
0.268 -0.865 67.738 936.067
0.268 -0.865 67.738 936.067
0.268 -0.865 67.738 936.067
0.268 -0.865 67.738 936.067
0.268 -0.865 67.738 936.067
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.250 -0.861 67.458 936.897
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.286 -0.911 67.940 935.643
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.211 -0.839 67.797 932.424
0.205 -0.792 67.904 935.634
0.205 -0.792 67.904 935.634
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.240 -0.742 66.410 937.231
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.236 -0.812 67.751 935.710
0.250 -0.724 66.207 935.586
0.250 -0.724 66.207 935.586
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.291 -0.782 65.947 936.245
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.262 -0.751 66.151 936.721
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.234 -0.783 67.360 936.141
0.226 -0.807 67.920 935.259
0.226 -0.807 67.920 935.259
0.235 -0.831 67.798 936.701
0.235 -0.831 67.798 936.701
0.235 -0.831 67.798 936.701
0.235 -0.831 67.798 936.701
0.265 -0.870 67.719 937.167
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.251 -0.928 68.616 935.771
0.274 -0.886 67.150 937.373
0.274 -0.886 67.150 937.373
0.274 -0.886 67.150 937.373
0.274 -0.886 67.150 937.373
0.274 -0.886 67.150 937.373
0.274 -0.886 67.150 937.373
0.318 -0.873 66.336 937.385
