# acceptance rate 0.48
# Om   w   H0
0.311 -0.634 64.880
0.311 -0.634 64.880
0.311 -0.634 64.880
0.339 -0.765 65.394
0.339 -0.765 65.394
0.339 -0.765 65.394
0.329 -0.725 65.197
0.341 -0.738 65.167
0.341 -0.738 65.167
0.341 -0.738 65.167
0.341 -0.738 65.167
0.344 -0.767 65.346
0.344 -0.767 65.346
0.280 -0.616 65.361
0.280 -0.616 65.361
0.336 -0.692 64.860
0.336 -0.692 64.860
0.336 -0.692 64.860
0.381 -0.949 65.933
0.367 -0.894 65.810
0.390 -1.130 67.526
0.353 -0.885 67.043
0.359 -0.939 67.310
0.359 -0.939 67.310
0.392 -0.990 66.959
0.392 -0.990 66.963
0.400 -1.204 67.921
0.404 -1.014 66.810
0.404 -1.014 66.810
0.409 -1.049 66.868
0.414 -1.093 67.047
0.414 -1.093 67.047
0.414 -1.093 67.047
0.414 -1.093 67.047
0.403 -1.061 67.146
0.403 -1.061 67.146
0.401 -1.056 67.116
0.401 -1.048 67.087
0.401 -1.048 67.087
0.395 -0.948 66.631
0.395 -0.948 66.631
0.395 -0.948 66.631
0.395 -0.948 66.631
0.407 -1.029 66.748
0.416 -1.220 67.909
0.416 -1.220 67.909
0.416 -1.220 67.909
0.440 -1.438 68.176
0.417 -1.153 67.719
0.416 -1.154 67.730
0.416 -1.154 67.730
0.416 -1.154 67.730
0.416 -1.154 67.730
0.409 -1.082 67.512
0.399 -1.060 67.514
0.399 -1.060 67.514
0.399 -1.060 67.514
0.367 -0.943 66.889
0.364 -0.931 66.826
0.372 -0.948 66.800
0.393 -0.992 66.719
0.392 -0.972 66.661
0.397 -1.054 67.236
0.401 -1.125 67.550
0.460 -1.318 68.129
0.470 -1.342 67.785
0.469 -1.630 68.779
0.447 -1.521 68.733
0.447 -1.521 68.733
0.447 -1.521 68.733
0.446 -1.661 69.688
0.432 -1.782 70.892
0.432 -1.782 70.892
0.432 -1.782 70.892
0.435 -1.859 70.851
0.437 -1.388 68.874
0.437 -1.388 68.874
0.411 -1.542 70.917
0.425 -1.399 69.453
0.411 -1.395 70.128
0.411 -1.395 70.128
0.411 -1.395 70.128
0.411 -1.395 70.128
