# acceptance rate 25.27
# Om   w   H0   chi2
0.288 -0.929 66.562 1.031e+03
0.327 -0.926 67.865 1.006e+03
0.327 -0.926 67.865 1.006e+03
0.268 -0.768 67.333 1.007e+03
0.268 -0.768 67.333 1.007e+03
0.268 -0.768 67.333 1.007e+03
0.268 -0.768 67.333 1.007e+03
0.342 -0.845 67.644 1.025e+03
0.342 -0.845 67.644 1.025e+03
0.342 -0.845 67.644 1.025e+03
0.342 -0.845 67.644 1.025e+03
0.333 -0.891 66.854 1.010e+03
0.333 -0.891 66.854 1.010e+03
0.333 -0.891 66.854 1.010e+03
0.359 -0.937 65.087 1.039e+03
0.359 -0.937 65.087 1.039e+03
0.359 -0.937 65.087 1.039e+03
0.414 -0.926 67.404 1.049e+03
0.414 -0.926 67.404 1.049e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.441 -0.969 66.021 1.033e+03
0.359 -0.968 64.581 1.064e+03
0.359 -0.968 64.581 1.064e+03
0.359 -0.968 64.581 1.064e+03
0.478 -0.893 63.210 1.048e+03
0.478 -0.893 63.210 1.048e+03
0.478 -0.893 63.210 1.048e+03
0.478 -0.893 63.210 1.048e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.559 -0.914 63.617 1.074e+03
0.676 -0.912 60.892 1.098e+03
0.676 -0.912 60.892 1.098e+03
0.676 -0.912 60.892 1.098e+03
0.757 -0.904 59.131 1.120e+03
0.757 -0.904 59.131 1.120e+03
0.757 -0.904 59.131 1.120e+03
0.757 -0.904 59.131 1.120e+03
0.697 -1.023 59.145 1.117e+03
0.692 -1.041 59.291 1.115e+03
0.692 -1.041 59.291 1.115e+03
0.692 -1.041 59.291 1.115e+03
0.885 -1.084 57.850 1.155e+03
0.885 -1.084 57.850 1.155e+03
0.885 -1.084 57.850 1.155e+03
0.885 -1.084 57.850 1.155e+03
0.918 -1.268 56.494 1.169e+03
0.918 -1.268 56.494 1.169e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.946 -1.323 55.414 1.194e+03
0.923 -1.337 56.523 1.169e+03
0.923 -1.337 56.523 1.169e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.961 -1.148 56.183 1.178e+03
0.828 -1.087 57.719 1.143e+03
0.828 -1.087 57.719 1.143e+03
0.828 -1.087 57.719 1.143e+03
0.743 -1.208 58.948 1.122e+03
0.782 -1.160 58.587 1.127e+03
0.782 -1.160 58.587 1.127e+03
0.795 -1.035 58.904 1.128e+03
0.795 -1.035 58.904 1.128e+03
0.795 -1.035 58.904 1.128e+03
0.795 -1.035 58.904 1.128e+03
0.795 -1.035 58.904 1.128e+03
