# acceptance rate 11.69
# Om   w   H0   chi2
0.299 -1.071 67.747 1.170e+03
0.342 -1.115 67.849 1.130e+03
0.342 -1.115 67.849 1.130e+03
0.342 -1.115 67.849 1.130e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.367 -1.138 67.977 1.126e+03
0.356 -1.126 68.258 1.125e+03
0.356 -1.126 68.258 1.125e+03
0.356 -1.126 68.258 1.125e+03
0.356 -1.126 68.258 1.125e+03
0.356 -1.126 68.258 1.125e+03
0.341 -1.097 68.028 1.125e+03
0.341 -1.097 68.028 1.125e+03
0.341 -1.097 68.028 1.125e+03
0.341 -1.097 68.028 1.125e+03
0.341 -1.097 68.028 1.125e+03
0.340 -1.070 68.331 1.127e+03
0.340 -1.070 68.331 1.127e+03
0.340 -1.070 68.331 1.127e+03
0.340 -1.070 68.331 1.127e+03
0.352 -1.147 68.026 1.127e+03
0.352 -1.147 68.026 1.127e+03
0.352 -1.147 68.026 1.127e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.383 -1.129 67.468 1.129e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.346 -1.118 68.016 1.126e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.344 -1.028 67.766 1.127e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.352 -1.080 67.788 1.125e+03
0.374 -1.219 67.961 1.128e+03
0.374 -1.219 67.961 1.128e+03
0.373 -1.186 68.139 1.125e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.353 -1.201 68.996 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.348 -1.200 69.115 1.126e+03
0.380 -1.221 67.931 1.127e+03
0.380 -1.221 67.931 1.127e+03
0.380 -1.221 67.931 1.127e+03
0.380 -1.221 67.931 1.127e+03
0.394 -1.237 67.680 1.129e+03
0.394 -1.237 67.680 1.129e+03
0.394 -1.237 67.680 1.129e+03
0.394 -1.237 67.680 1.129e+03
0.394 -1.237 67.680 1.129e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.343 -1.223 69.001 1.127e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.368 -1.235 68.408 1.125e+03
0.375 -1.223 68.432 1.125e+03
0.375 -1.223 68.432 1.125e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.357 -1.169 68.420 1.124e+03
0.361 -1.227 68.480 1.126e+03
0.361 -1.227 68.480 1.126e+03
0.361 -1.227 68.480 1.126e+03
0.356 -1.225 68.920 1.125e+03
0.356 -1.225 68.920 1.125e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.295 68.906 1.127e+03
0.385 -1.324 68.508 1.126e+03
0.385 -1.324 68.508 1.126e+03
0.385 -1.324 68.508 1.126e+03
0.393 -1.375 69.221 1.128e+03
0.382 -1.396 69.382 1.125e+03
0.382 -1.396 69.382 1.125e+03
0.382 -1.396 69.382 1.125e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.373 -1.363 69.620 1.127e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.389 -1.396 68.948 1.126e+03
0.398 -1.349 68.667 1.125e+03
0.398 -1.349 68.667 1.125e+03
0.398 -1.349 68.667 1.125e+03
0.398 -1.349 68.667 1.125e+03
0.398 -1.349 68.667 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.391 -1.336 68.677 1.125e+03
0.376 -1.346 69.192 1.125e+03
0.399 -1.352 68.460 1.126e+03
0.399 -1.352 68.460 1.126e+03
0.399 -1.352 68.460 1.126e+03
0.399 -1.352 68.460 1.126e+03
0.399 -1.352 68.460 1.126e+03
0.399 -1.352 68.460 1.126e+03
0.373 -1.282 68.797 1.124e+03
0.373 -1.282 68.797 1.124e+03
0.373 -1.282 68.797 1.124e+03
0.372 -1.245 68.550 1.124e+03
0.372 -1.245 68.550 1.124e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.367 -1.316 68.937 1.127e+03
0.376 -1.354 69.590 1.128e+03
0.376 -1.354 69.590 1.128e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
0.389 -1.317 68.285 1.127e+03
