# acceptance rate 6.51
# Om   w   H0   chi2
0.269 -0.962 66.364 931.580
0.269 -0.962 66.364 931.580
0.269 -0.962 66.364 931.580
0.269 -0.962 66.364 931.580
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.001 67.787 980.422
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.299 -1.037 68.334 981.097
0.294 -0.946 68.263 979.436
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.257 -0.944 68.894 980.202
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.282 -0.971 68.557 981.178
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
0.277 -0.947 68.077 982.196
