# acceptance rate 0.42
# Om   w   H0
0.483 -0.287 57.907
0.483 -0.287 57.907
0.505 -0.304 58.380
0.502 -0.299 58.402
0.561 -0.362 58.188
0.561 -0.362 58.188
0.561 -0.362 58.188
0.581 -0.401 58.111
0.506 -0.331 58.428
0.506 -0.331 58.428
0.506 -0.331 58.428
0.506 -0.331 58.428
0.506 -0.331 58.428
0.538 -0.439 58.341
0.538 -0.439 58.341
0.570 -0.474 58.391
0.570 -0.474 58.391
0.570 -0.474 58.391
0.528 -0.439 58.576
0.539 -0.451 58.524
0.535 -0.462 58.598
0.535 -0.462 58.598
0.535 -0.462 58.598
0.535 -0.462 58.598
0.597 -0.565 58.843
0.597 -0.565 58.843
0.597 -0.565 58.843
0.513 -0.499 59.210
0.513 -0.499 59.210
0.489 -0.430 58.821
0.489 -0.430 58.821
0.485 -0.426 58.830
0.487 -0.428 58.836
0.487 -0.428 58.836
0.531 -0.467 58.996
0.500 -0.414 59.032
0.505 -0.417 59.053
0.505 -0.417 59.053
0.505 -0.417 59.053
0.484 -0.405 58.991
0.484 -0.405 58.991
0.484 -0.405 58.991
0.528 -0.427 59.093
0.532 -0.420 58.973
0.532 -0.420 58.973
0.532 -0.420 58.973
0.532 -0.420 58.973
0.532 -0.420 58.973
0.532 -0.420 58.973
0.465 -0.348 58.572
0.476 -0.358 58.684
0.476 -0.358 58.684
0.476 -0.358 58.684
0.476 -0.358 58.684
0.477 -0.356 58.672
0.477 -0.356 58.672
0.477 -0.356 58.672
0.477 -0.356 58.672
0.515 -0.430 58.562
0.515 -0.430 58.562
0.515 -0.430 58.562
0.437 -0.413 58.818
0.403 -0.361 58.958
0.403 -0.361 58.958
0.403 -0.361 58.958
0.403 -0.361 58.958
0.387 -0.357 59.039
0.387 -0.357 59.039
0.372 -0.337 59.086
0.399 -0.356 58.968
0.434 -0.366 58.879
0.402 -0.324 58.883
0.402 -0.324 58.883
0.402 -0.324 58.883
0.402 -0.324 58.883
0.326 -0.299 59.222
0.326 -0.299 59.222
0.334 -0.301 59.296
0.334 -0.301 59.296
0.334 -0.301 59.296
0.375 -0.323 59.422
0.372 -0.317 59.434
0.372 -0.317 59.434
0.408 -0.322 59.193
0.408 -0.322 59.193
0.408 -0.322 59.193
0.408 -0.322 59.193
0.408 -0.322 59.193
0.408 -0.322 59.193
0.408 -0.322 59.193
0.423 -0.322 59.014
0.423 -0.322 59.014
0.423 -0.322 59.014
0.423 -0.322 59.014
0.423 -0.322 59.014
0.425 -0.329 59.008
0.451 -0.409 59.003
0.521 -0.505 59.441
0.587 -0.511 58.819
0.611 -0.552 58.965
0.665 -0.640 58.326
0.665 -0.640 58.326
0.665 -0.640 58.326
0.665 -0.640 58.326
0.651 -0.556 58.061
0.715 -0.631 57.912
0.715 -0.631 57.912
0.716 -0.627 57.887
0.716 -0.627 57.887
0.716 -0.627 57.887
0.735 -0.723 57.975
0.735 -0.723 57.975
0.735 -0.723 57.975
0.748 -0.753 57.985
0.746 -0.761 57.979
0.745 -0.760 57.983
0.745 -0.760 57.983
0.754 -0.879 58.084
0.754 -0.879 58.084
0.754 -0.879 58.084
0.794 -0.989 58.125
0.794 -0.989 58.125
0.794 -0.989 58.125
0.794 -0.989 58.125
0.794 -0.989 58.125
0.794 -0.989 58.125
0.790 -1.012 58.254
0.790 -1.012 58.254
0.790 -1.012 58.254
0.790 -1.012 58.254
0.790 -1.012 58.254
0.727 -0.811 58.229
0.727 -0.811 58.229
0.760 -0.799 57.982
0.760 -0.799 57.982
0.760 -0.799 57.982
0.760 -0.799 57.982
0.760 -0.799 57.982
0.760 -0.799 57.982
0.760 -0.799 57.982
0.785 -0.837 57.811
0.781 -0.818 57.810
0.781 -0.818 57.810
0.781 -0.818 57.810
0.828 -0.810 57.284
0.828 -0.810 57.284
0.827 -0.878 57.381
0.825 -0.811 57.324
0.825 -0.811 57.324
0.825 -0.811 57.324
0.825 -0.811 57.324
0.825 -0.811 57.324
0.757 -0.704 57.638
0.757 -0.704 57.638
0.757 -0.704 57.638
0.757 -0.704 57.638
0.799 -0.760 57.549
0.799 -0.760 57.549
0.786 -0.737 57.552
0.786 -0.737 57.552
0.786 -0.737 57.552
0.786 -0.737 57.552
0.786 -0.737 57.552
0.786 -0.737 57.552
0.786 -0.737 57.552
0.749 -0.679 57.849
