# acceptance rate 0.44
# Om   w   H0
0.042 0.075 54.365
0.042 0.075 54.365
0.042 0.075 54.365
0.062 0.079 54.371
0.062 0.079 54.371
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.052 0.082 54.341
0.077 0.095 54.284
0.108 0.078 54.669
0.108 0.078 54.669
0.195 0.111 54.271
0.195 0.111 54.271
0.145 0.110 54.206
0.050 0.094 54.310
0.076 0.097 54.331
0.076 0.097 54.331
0.113 0.112 54.154
0.113 0.112 54.154
0.113 0.112 54.154
0.113 0.112 54.154
0.099 0.117 54.123
0.099 0.117 54.123
0.099 0.117 54.123
0.099 0.117 54.123
0.099 0.117 54.123
0.099 0.117 54.123
0.099 0.117 54.123
0.111 0.116 54.129
0.021 0.113 54.073
0.021 0.113 54.073
0.005 0.100 54.300
0.005 0.100 54.300
0.031 0.098 54.369
0.031 0.098 54.369
0.031 0.098 54.369
0.051 0.110 54.199
0.051 0.110 54.199
0.051 0.110 54.199
0.051 0.110 54.199
0.051 0.110 54.199
0.055 0.110 54.200
0.055 0.110 54.200
0.035 0.107 54.194
0.035 0.107 54.194
0.035 0.107 54.194
0.036 0.107 54.192
0.036 0.107 54.192
0.036 0.107 54.192
0.077 0.112 54.168
0.078 0.112 54.170
0.089 0.122 54.013
0.128 0.139 53.688
0.124 0.158 53.394
0.149 0.162 53.433
0.171 0.165 53.469
0.171 0.165 53.469
0.212 0.205 52.916
0.201 0.196 53.032
0.201 0.196 53.032
0.201 0.196 53.032
0.201 0.190 53.181
0.201 0.190 53.181
0.202 0.189 53.193
0.221 0.202 53.034
0.237 0.174 53.402
0.258 0.180 53.428
0.258 0.180 53.428
0.271 0.186 53.378
0.271 0.186 53.378
0.271 0.186 53.378
0.271 0.186 53.378
0.299 0.195 53.267
0.299 0.195 53.267
0.299 0.195 53.267
0.299 0.195 53.267
0.299 0.195 53.267
0.323 0.178 53.520
0.368 0.157 53.851
0.358 0.156 53.843
0.358 0.156 53.843
0.358 0.156 53.843
0.358 0.156 53.843
0.358 0.156 53.843
0.358 0.156 53.843
0.250 0.158 53.563
0.294 0.173 53.451
0.302 0.176 53.405
0.295 0.174 53.437
0.295 0.174 53.437
0.309 0.177 53.409
0.309 0.177 53.409
0.309 0.177 53.409
0.401 0.172 53.878
0.401 0.172 53.878
0.327 0.163 53.793
0.327 0.163 53.791
0.283 0.155 53.793
0.283 0.155 53.793
0.301 0.141 54.062
0.342 0.138 54.213
0.342 0.138 54.213
0.381 0.136 54.296
0.413 0.150 54.358
0.401 0.135 54.497
0.335 0.145 54.442
0.311 0.144 54.375
0.408 0.142 54.642
0.378 0.141 54.498
0.378 0.141 54.498
0.384 0.141 54.507
0.427 0.163 54.257
0.427 0.163 54.257
0.528 0.176 54.471
0.528 0.176 54.471
0.704 0.211 54.536
0.705 0.212 54.524
0.465 0.174 54.371
0.465 0.174 54.371
0.440 0.171 54.317
0.387 0.141 54.448
0.387 0.141 54.448
0.387 0.141 54.448
0.355 0.139 54.387
0.323 0.109 54.591
0.323 0.109 54.591
0.308 0.110 54.553
0.390 0.131 54.438
0.390 0.131 54.438
0.332 0.120 54.393
0.332 0.120 54.393
0.332 0.120 54.393
0.331 0.138 54.148
0.462 0.135 54.480
0.462 0.135 54.480
0.341 0.115 54.622
0.310 0.111 54.537
0.387 0.106 54.858
0.387 0.106 54.858
0.387 0.106 54.858
0.387 0.106 54.858
0.348 0.126 54.405
0.387 0.139 54.354
0.387 0.139 54.354
0.475 0.139 54.466
0.475 0.139 54.466
0.475 0.139 54.466
0.392 0.121 54.306
0.392 0.121 54.306
0.447 0.107 54.783
0.312 0.105 54.621
0.226 0.092 54.598
0.259 0.092 54.720
0.229 0.085 54.731
0.267 0.096 54.612
0.275 0.095 54.648
0.253 0.089 54.706
0.237 0.091 54.658
0.179 0.088 54.639
0.179 0.088 54.639
0.163 0.086 54.658
0.172 0.075 54.734
0.172 0.075 54.734
0.206 0.092 54.589
0.090 0.083 54.474
0.074 0.078 54.581
0.070 0.067 54.887
0.070 0.067 54.887
0.196 0.110 54.458
0.196 0.110 54.458
0.196 0.110 54.458
0.196 0.110 54.458
0.196 0.110 54.458
0.095 0.050 55.089
0.094 0.050 55.094
0.094 0.050 55.094
0.090 0.048 55.128
0.090 0.048 55.128
0.090 0.048 55.128
0.090 0.048 55.128
0.090 0.048 55.128
0.090 0.048 55.128
0.090 0.044 55.208
0.090 0.044 55.208
0.082 0.040 55.205
0.138 0.071 54.805
0.134 0.074 54.752
0.147 0.081 54.660
0.147 0.081 54.660
0.273 0.114 54.484
0.417 0.122 54.707
0.417 0.122 54.707
0.235 0.118 54.212
0.235 0.118 54.212
0.328 0.112 54.393
0.421 0.165 54.102
0.430 0.165 54.127
0.365 0.155 54.095
0.365 0.155 54.095
0.308 0.145 54.086
0.308 0.145 54.086
0.329 0.152 54.025
0.324 0.151 54.024
0.337 0.145 54.100
0.237 0.124 53.984
0.237 0.124 53.984
0.269 0.138 54.041
0.269 0.138 54.041
0.258 0.134 54.063
0.258 0.134 54.063
0.206 0.122 54.025
0.209 0.122 54.032
0.234 0.120 54.137
0.267 0.121 54.173
0.384 0.131 54.164
0.384 0.131 54.164
0.384 0.131 54.164
0.384 0.131 54.164
0.384 0.131 54.164
0.383 0.131 54.158
0.424 0.132 54.204
0.424 0.132 54.204
0.358 0.145 53.981
0.371 0.142 54.092
0.345 0.140 54.085
0.335 0.138 54.097
0.337 0.136 54.121
0.337 0.136 54.121
0.344 0.139 54.023
0.344 0.139 54.023
0.439 0.167 54.121
0.439 0.167 54.121
0.345 0.148 54.118
0.365 0.155 54.063
0.768 -1.004 59.181
0.768 -1.004 59.181
0.768 -1.004 59.181
0.779 -0.979 59.130
0.779 -0.979 59.130
0.779 -0.979 59.130
0.779 -0.979 59.130
0.785 -0.994 59.164
0.785 -0.994 59.164
0.785 -0.994 59.164
0.799 -0.994 58.903
0.799 -0.994 58.903
0.805 -0.997 58.856
0.805 -0.997 58.856
0.805 -0.997 58.856
0.805 -0.997 58.856
