# acceptance rate 7.54
# Om   w   H0   chi2
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.280 -0.975 67.484 1.040e+03
0.378 -1.005 66.007 1.032e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.384 -1.001 66.184 1.035e+03
0.342 -0.969 66.962 1.032e+03
0.312 -1.002 67.536 1.029e+03
0.312 -1.002 67.536 1.029e+03
0.312 -1.002 67.536 1.029e+03
0.312 -1.002 67.536 1.029e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.351 -1.084 67.118 1.030e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.308 -0.983 67.656 1.029e+03
0.276 -0.914 67.568 1.029e+03
0.276 -0.914 67.568 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.297 -0.959 67.390 1.029e+03
0.291 -0.924 67.365 1.028e+03
0.291 -0.924 67.365 1.028e+03
0.291 -0.924 67.365 1.028e+03
0.291 -0.924 67.365 1.028e+03
0.291 -0.924 67.365 1.028e+03
0.291 -0.924 67.365 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.327 -1.023 67.401 1.028e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
0.334 -1.037 67.187 1.029e+03
