# acceptance rate 0.41
# Om   w   H0
0.733 -1.075 58.438
0.733 -1.075 58.438
0.733 -1.075 58.438
0.753 -1.191 58.151
0.747 -0.904 57.767
0.747 -0.904 57.767
0.764 -1.024 57.770
0.747 -0.723 57.404
0.747 -0.723 57.404
0.746 -0.654 57.350
0.756 -0.646 57.182
0.756 -0.646 57.182
0.755 -0.646 57.207
0.755 -0.646 57.207
0.755 -0.646 57.207
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.754 -0.566 57.176
0.750 -0.429 56.965
0.750 -0.429 56.965
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.737 -0.547 57.401
0.741 -0.545 57.359
0.741 -0.545 57.359
0.704 -0.504 57.413
0.704 -0.504 57.413
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.590 -0.418 57.678
0.590 -0.418 57.678
0.577 -0.402 57.679
0.587 -0.423 57.733
0.587 -0.423 57.733
0.639 -0.498 58.040
0.644 -0.491 57.931
0.645 -0.503 57.945
0.645 -0.503 57.945
0.645 -0.503 57.945
0.645 -0.503 57.945
0.641 -0.521 58.009
0.649 -0.542 57.998
0.608 -0.496 58.214
0.608 -0.496 58.214
0.608 -0.496 58.214
0.582 -0.435 58.207
0.582 -0.435 58.207
0.582 -0.435 58.207
0.582 -0.435 58.207
0.604 -0.420 57.999
0.591 -0.412 58.079
0.591 -0.412 58.079
0.532 -0.349 58.573
0.532 -0.349 58.573
0.496 -0.295 58.061
0.576 -0.437 58.151
0.579 -0.441 58.166
0.491 -0.342 58.606
0.401 -0.288 58.112
0.401 -0.288 58.112
0.449 -0.309 58.062
0.468 -0.321 58.034
0.452 -0.350 58.266
0.452 -0.350 58.266
0.452 -0.350 58.266
0.513 -0.451 59.110
0.402 -0.412 59.533
0.396 -0.409 59.605
0.396 -0.409 59.605
0.396 -0.409 59.605
0.399 -0.392 59.389
0.399 -0.392 59.389
0.413 -0.443 59.764
0.436 -0.398 59.275
0.436 -0.398 59.275
0.436 -0.398 59.275
0.436 -0.398 59.275
0.435 -0.398 59.279
0.435 -0.398 59.279
0.435 -0.398 59.279
0.435 -0.398 59.279
0.337 -0.329 58.749
0.337 -0.329 58.749
0.327 -0.320 58.680
0.327 -0.321 58.690
0.327 -0.321 58.690
0.315 -0.309 58.728
0.315 -0.309 58.728
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.134 -0.206 58.845
0.134 -0.206 58.845
0.134 -0.206 58.845
0.134 -0.206 58.845
0.076 -0.184 59.086
0.164 -0.213 58.856
0.164 -0.213 58.856
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.284 -0.249 58.557
0.277 -0.244 58.556
0.277 -0.244 58.556
0.277 -0.244 58.556
0.277 -0.244 58.556
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
0.310 -0.250 58.449
0.310 -0.250 58.449
0.310 -0.250 58.449
0.236 -0.213 58.094
0.236 -0.213 58.094
0.133 -0.173 58.070
0.133 -0.173 58.070
0.144 -0.178 58.097
0.144 -0.178 58.097
0.144 -0.178 58.097
0.148 -0.178 58.216
0.148 -0.178 58.216
0.077 -0.166 58.234
0.077 -0.166 58.234
0.077 -0.166 58.234
0.077 -0.166 58.234
0.077 -0.166 58.234
0.106 -0.189 58.210
0.018 -0.144 58.229
0.135 -0.201 58.195
0.284 -0.211 58.002
0.284 -0.211 58.002
0.271 -0.206 58.026
0.174 -0.190 58.233
0.174 -0.190 58.233
0.174 -0.190 58.233
0.077 -0.172 58.277
0.114 -0.185 58.215
0.114 -0.185 58.215
0.114 -0.185 58.215
0.093 -0.182 58.500
0.093 -0.182 58.500
0.093 -0.182 58.500
0.128 -0.196 58.501
0.128 -0.196 58.501
0.153 -0.203 58.416
0.151 -0.202 58.425
0.124 -0.180 58.077
0.164 -0.202 58.326
0.166 -0.200 58.295
0.166 -0.200 58.295
0.251 -0.225 58.102
0.251 -0.225 58.102
0.251 -0.225 58.102
0.277 -0.232 58.084
0.043 -0.142 58.178
0.106 -0.189 58.256
0.057 -0.184 58.310
0.057 -0.184 58.310
0.057 -0.184 58.310
0.057 -0.184 58.310
0.086 -0.208 58.344
0.086 -0.208 58.344
0.086 -0.208 58.344
0.086 -0.208 58.344
0.050 -0.157 58.422
0.050 -0.157 58.422
0.060 -0.161 58.418
0.060 -0.161 58.418
0.060 -0.161 58.418
0.060 -0.161 58.418
0.055 -0.161 58.431
0.055 -0.161 58.431
0.055 -0.161 58.431
0.157 -0.232 58.382
0.265 -0.247 58.219
0.234 -0.236 58.211
0.234 -0.236 58.211
0.234 -0.236 58.211
0.322 -0.262 58.305
0.338 -0.276 58.388
0.338 -0.276 58.388
0.338 -0.276 58.388
0.302 -0.251 58.472
0.302 -0.251 58.472
0.302 -0.251 58.472
0.363 -0.277 58.668
0.363 -0.277 58.668
0.363 -0.277 58.668
0.349 -0.265 58.642
0.346 -0.264 58.651
0.395 -0.329 58.567
0.395 -0.329 58.567
0.553 -0.419 58.965
0.553 -0.419 58.965
0.566 -0.455 59.258
0.566 -0.455 59.258
0.598 -0.496 58.938
0.598 -0.496 58.938
0.598 -0.496 58.938
0.594 -0.492 59.006
0.467 -0.341 58.179
0.466 -0.336 58.146
0.466 -0.336 58.146
0.466 -0.336 58.146
0.466 -0.336 58.146
0.466 -0.336 58.146
0.466 -0.336 58.146
0.466 -0.336 58.146
0.441 -0.297 58.133
0.572 -0.327 58.074
0.572 -0.327 58.074
0.606 -0.391 58.299
0.626 -0.457 58.251
0.626 -0.457 58.251
0.569 -0.355 57.849
0.569 -0.355 57.849
0.618 -0.376 57.863
0.618 -0.376 57.863
0.618 -0.376 57.863
0.606 -0.352 57.906
0.606 -0.352 57.906
0.625 -0.335 57.723
0.625 -0.335 57.723
0.625 -0.335 57.723
0.625 -0.335 57.723
0.624 -0.378 57.976
0.627 -0.396 58.059
0.488 -0.329 57.876
0.389 -0.227 58.083
0.389 -0.227 58.083
0.389 -0.227 58.083
0.389 -0.227 58.083
0.345 -0.202 58.199
0.374 -0.215 57.815
0.374 -0.215 57.815
0.281 -0.211 58.112
0.281 -0.211 58.112
0.606 -0.328 57.492
0.611 -0.395 57.788
0.611 -0.395 57.788
0.611 -0.395 57.788
0.611 -0.395 57.788
0.592 -0.398 58.212
0.592 -0.398 58.212
