# acceptance rate 10.13
# Om   w   H0   chi2
0.299 -0.925 69.916 751.650
0.223 -0.818 69.201 768.859
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.245 -0.773 66.935 782.393
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.288 -0.876 67.379 782.447
0.327 -0.877 66.785 783.210
0.327 -0.877 66.785 783.210
0.327 -0.877 66.785 783.210
0.327 -0.877 66.785 783.210
0.327 -0.877 66.785 783.210
0.327 -0.877 66.785 783.210
0.367 -0.898 65.749 784.051
0.367 -0.898 65.749 784.051
0.367 -0.898 65.749 784.051
0.367 -0.898 65.749 784.051
0.367 -0.898 65.749 784.051
0.367 -0.898 65.749 784.051
0.426 -1.001 64.849 781.826
0.426 -1.001 64.849 781.826
0.426 -1.001 64.849 781.826
0.426 -1.001 64.849 781.826
0.426 -1.001 64.849 781.826
0.477 -0.999 64.611 778.488
0.477 -0.999 64.611 778.488
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.417 -0.972 65.701 782.612
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.367 -1.048 67.038 784.884
0.443 -1.134 66.362 783.339
0.443 -1.134 66.362 783.339
0.443 -1.134 66.362 783.339
0.443 -1.134 66.362 783.339
0.443 -1.134 66.362 783.339
0.346 -1.044 66.993 783.501
0.346 -1.044 66.993 783.501
0.346 -1.044 66.993 783.501
0.346 -1.044 66.993 783.501
0.346 -1.044 66.993 783.501
0.409 -1.113 66.793 784.932
0.409 -1.113 66.793 784.932
0.409 -1.113 66.793 784.932
0.409 -1.113 66.793 784.932
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.411 -1.140 66.798 785.429
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.419 -1.111 65.634 783.744
0.394 -1.029 65.670 783.728
0.394 -1.029 65.670 783.728
0.394 -1.029 65.670 783.728
0.421 -1.066 66.560 782.553
