# acceptance rate 5.44
# Om   w   H0   chi2
0.250 -0.942 67.523 -507.617
0.250 -0.942 67.523 -507.617
0.250 -0.942 67.523 -507.617
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.330 -0.978 68.107 -497.929
0.270 -0.873 67.656 -488.654
0.270 -0.873 67.656 -488.654
0.270 -0.873 67.656 -488.654
0.270 -0.873 67.656 -488.654
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.307 -0.940 67.086 -490.039
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.291 -0.986 67.899 -489.356
0.303 -1.018 68.297 -488.054
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.325 -1.056 68.288 -488.329
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.305 -1.062 68.558 -488.566
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
0.321 -0.983 67.516 -488.496
