# acceptance rate 12.69
# Om   w   H0   log_like
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.315 -1.031 68.076 -643.714
0.290 -0.982 68.605 -643.936
0.290 -0.982 68.605 -643.936
0.290 -0.982 68.605 -643.936
0.290 -0.982 68.605 -643.936
0.307 -1.028 68.273 -643.795
0.307 -1.028 68.273 -643.795
0.307 -1.028 68.273 -643.795
0.307 -1.028 68.273 -643.795
0.256 -0.924 68.719 -645.097
0.256 -0.924 68.719 -645.097
0.256 -0.924 68.719 -645.097
0.256 -0.924 68.719 -645.097
0.256 -0.924 68.719 -645.097
0.256 -0.924 68.719 -645.097
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.265 -0.946 68.876 -645.403
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
